District,County,District Code,Latitude,Longitude,Postcodes,Active Postcodes,Households,Population
"Aberdeen City","",S12000033,57.149502,-2.13258,14113,6124,103302,222599
"Aberdeenshire","",S12000034,57.354401,-2.32277,21254,9606,104594,252588
"Adur","West Sussex",E07000223,50.833302,-0.283502,2887,1702,26952,61167
"Allerdale","Cumbria",E07000026,54.713699,-3.36129,5435,4051,42362,96468
"Amber Valley","Derbyshire",E07000032,53.037601,-1.42452,4854,2751,52596,122318
"Angus","",S12000041,56.6199,-2.74959,4471,3921,51537,115791
"Argyll and Bute","",S12000035,56.031601,-5.21212,4103,3410,40013,87912
"Arun","West Sussex",E07000224,50.808498,-0.597254,6313,4884,66705,149515
"Ashfield","Nottinghamshire",E07000170,53.0877,-1.24925,3122,2666,50943,119531
"Ashford","Kent",E07000105,51.135399,0.837294,5578,3751,47783,117947
"Aylesbury Vale","Buckinghamshire",E07000004,51.857399,-0.849597,7998,5616,69371,174046
"Babergh","Suffolk",E07000200,52.038898,0.880686,4367,3295,37490,87659
"Barking and Dagenham","Greater London",E09000002,51.5466,0.12516,4389,2917,69687,185974
"Barnet","Greater London",E09000003,51.605598,-0.207574,15520,8861,135870,356189
"Barnsley","South Yorkshire",E08000016,53.546299,-1.46789,8329,6621,100692,231136
"Barrow-in-Furness","Cumbria",E07000027,54.126301,-3.21575,2480,2061,31231,69105
"Basildon","Essex",E07000066,51.590099,0.465595,5874,4099,72736,174571
"Basingstoke and Deane","Hampshire",E07000084,51.287201,-1.14654,8452,4734,69312,167791
"Bassetlaw","Nottinghamshire",E07000171,53.331501,-1.02102,4455,3618,47668,112857
"Bath and North East Somerset","Somerset",E06000022,51.364101,-2.43751,9489,5772,73520,176008
"Bedford","Bedfordshire",E06000055,52.1455,-0.472369,6484,4530,63803,157461
"Bexley","Greater London",E09000004,51.459099,0.136101,6273,4410,92587,231935
"Birmingham","West Midlands",E08000025,52.480999,-1.88477,33706,21599,410648,1072849
"Blaby","Leicestershire",E07000129,52.587601,-1.20106,3818,2296,38638,93784
"Blackburn with Darwen","Lancashire",E06000008,53.729198,-2.47677,4828,3293,57352,147523
"Blackpool","Lancashire",E06000009,53.817699,-3.03839,4930,3492,64372,142081
"Blaenau Gwent","",W06000019,51.767601,-3.19175,4000,1836,30406,69787
"Bolsover","Derbyshire",E07000033,53.2071,-1.27538,2252,1931,32786,75836
"Bolton","Greater Manchester",E08000001,53.577301,-2.44763,9676,7192,116384,276820
"Boston","Lincolnshire",E07000136,52.970299,-0.028074,2534,2017,27294,64646
"Bournemouth","Dorset",E06000028,50.736301,-1.86608,7165,4609,82390,183500
"Bracknell Forest","Berkshire",E06000036,51.4011,-0.760696,6443,2919,45836,113102
"Bradford","West Yorkshire",E08000032,53.821201,-1.80214,20220,14603,199276,522430
"Braintree","Essex",E07000067,51.889099,0.590483,6604,4256,61052,147108
"Breckland","Norfolk",E07000143,52.580601,0.867779,5085,4399,54509,130468
"Brent","Greater London",E09000005,51.551899,-0.257647,10237,5812,110287,311239
"Brentwood","Essex",E07000068,51.630901,0.317275,3078,2160,30637,73574
"Bridgend","",W06000013,51.531898,-3.60574,4100,3221,58511,139167
"Brighton and Hove","East Sussex",E06000043,50.832298,-0.14814,10160,5214,121561,273416
"Bristol, City of","Bristol",E06000023,51.460602,-2.58744,17021,11581,182755,428262
"Broadland","Norfolk",E07000144,52.674,1.31968,5287,3949,53318,124603
"Bromley","Greater London",E09000006,51.3918,0.026597,11108,7325,130764,309218
"Bromsgrove","Worcestershire",E07000234,52.356201,-2.03006,3358,2794,38267,93618
"Broxbourne","Hertfordshire",E07000095,51.723999,-0.029763,3635,2455,37631,93534
"Broxtowe","Nottinghamshire",E07000172,52.9547,-1.24995,3309,2555,46844,109516
"Burnley","Lancashire",E07000117,53.791901,-2.25054,3369,2342,37528,87000
"Bury","Greater Manchester",E08000002,53.570099,-2.3033,8420,4947,78108,185045
"Caerphilly","",W06000018,51.645901,-3.20436,8985,4299,74471,178797
"Calderdale","West Yorkshire",E08000033,53.7174,-1.90158,9338,7235,88633,203849
"Cambridge","Cambridgeshire",E07000008,52.202801,0.137881,5798,2777,46682,123798
"Camden","Greater London",E09000007,51.534199,-0.143209,15780,8453,97552,220382
"Cannock Chase","Staffordshire",E07000192,52.707401,-1.99403,3855,2160,40672,97477
